DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
200204470,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,245,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3RD
200204471,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1625,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),35,M,H,,Invest Cont,1700 W  6TH                          ST
200204472,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,930,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,BEVERLY                      BL
200204480,01/10/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1930,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),31,F,H,,Invest Cont,400    LOMA                         DR
222005167,01/06/2022 12:00:00 AM,12/01/2020 12:00:00 AM,1945,Olympic,THEFT OF IDENTITY,53,M,O,,Invest Cont,600 N  PLYMOUTH                     BL
200204482,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2225,Rampart,BURGLARY,0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1500 W  SUNSET                       BL
200204483,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1530,Rampart,BATTERY WITH SEXUAL CONTACT,33,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3RD                          ST
200204484,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1900,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,JAMES M WOOD
200204486,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1800,Rampart,BRANDISH WEAPON,20,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,100    GLENDALE                     BL
200204489,01/10/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2130,Rampart,BURGLARY FROM VEHICLE,33,M,B,,Invest Cont,4TH                          ST
200204490,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,905,Rampart,"BUNCO, PETTY THEFT",26,F,B,,Invest Cont,800    SANBORN                      AV
